Main Value,County,State
18.97,BARTON,Kansas
23.96,BOURBON,Kansas
16.9,BROWN,Kansas
19.94,BUTLER,Kansas
20.83,CHASE,Kansas
13.79,CHAUTAUQUA,Kansas
25.0,CHEROKEE,Kansas
5.56,CHEYENNE,Kansas
9.09,CLARK,Kansas
15.63,CLAY,Kansas
18.39,CLOUD,Kansas
13.11,COFFEY,Kansas
0.0,COMANCHE,Kansas
18.18,COWLEY,Kansas
19.09,CRAWFORD,Kansas
15.38,DECATUR,Kansas
13.79,DICKINSON,Kansas
24.68,DONIPHAN,Kansas
16.96,DOUGLAS,Kansas
22.22,EDWARDS,Kansas
20.83,ELK,Kansas
30.06,ELLIS,Kansas
23.08,ELLSWORTH,Kansas
24.07,FINNEY,Kansas
21.89,FORD,Kansas
